x,u
0.000000,1.000000
0.002506,1.000000
0.005013,1.000000
0.007519,1.000000
0.010025,1.000000
0.012531,1.000000
0.015038,1.000000
0.017544,1.000000
0.020050,1.000000
0.022556,1.000000
0.025063,1.000000
0.027569,1.000000
0.030075,1.000000
0.032581,1.000000
0.035088,1.000000
0.037594,1.000000
0.040100,1.000000
0.042607,1.000000
0.045113,1.000000
0.047619,1.000000
0.050125,1.000000
0.052632,1.000000
0.055138,1.000000
0.057644,1.000000
0.060150,1.000000
0.062657,1.000000
0.065163,1.000000
0.067669,1.000000
0.070175,1.000000
0.072682,1.000000
0.075188,1.000000
0.077694,1.000000
0.080201,1.000000
0.082707,1.000000
0.085213,1.000000
0.087719,1.000000
0.090226,1.000000
0.092732,1.000000
0.095238,1.000000
0.097744,1.000000
0.100251,1.000000
0.102757,1.000000
0.105263,1.000000
0.107769,1.000000
0.110276,1.000000
0.112782,1.000000
0.115288,1.000000
0.117794,1.000000
0.120301,1.000000
0.122807,1.000000
0.125313,1.000000
0.127820,1.000000
0.130326,1.000000
0.132832,1.000000
0.135338,1.000000
0.137845,1.000000
0.140351,1.000000
0.142857,1.000000
0.145363,1.000000
0.147870,1.000000
0.150376,1.000000
0.152882,1.000000
0.155388,1.000000
0.157895,1.000000
0.160401,1.000000
0.162907,1.000000
0.165414,1.000000
0.167920,1.000000
0.170426,1.000000
0.172932,1.000000
0.175439,1.000000
0.177945,1.000000
0.180451,1.000000
0.182957,1.000000
0.185464,1.000000
0.187970,1.000000
0.190476,1.000000
0.192982,1.000000
0.195489,1.000000
0.197995,1.000000
0.200501,1.000000
0.203008,1.000000
0.205514,1.000000
0.208020,1.000000
0.210526,1.000000
0.213033,1.000000
0.215539,1.000000
0.218045,1.000000
0.220551,1.000000
0.223058,1.000000
0.225564,1.000000
0.228070,1.000000
0.230576,1.000000
0.233083,1.000000
0.235589,1.000000
0.238095,1.000000
0.240602,1.000000
0.243108,1.000000
0.245614,1.000000
0.248120,1.000000
0.250627,1.000000
0.253133,1.000000
0.255639,1.000000
0.258145,1.000000
0.260652,1.000000
0.263158,1.000000
0.265664,1.000000
0.268170,1.000000
0.270677,1.000000
0.273183,1.000000
0.275689,1.000000
0.278195,1.000000
0.280702,1.000000
0.283208,1.000000
0.285714,1.000000
0.288221,1.000000
0.290727,1.000000
0.293233,1.000000
0.295739,1.000000
0.298246,1.000000
0.300752,1.000000
0.303258,1.000000
0.305764,1.000000
0.308271,1.000000
0.310777,1.000000
0.313283,1.000000
0.315789,1.000000
0.318296,1.000000
0.320802,1.000000
0.323308,1.000000
0.325815,1.000000
0.328321,1.000000
0.330827,1.000000
0.333333,1.000000
0.335840,1.000000
0.338346,1.000000
0.340852,1.000000
0.343358,1.000000
0.345865,1.000000
0.348371,1.000000
0.350877,1.000000
0.353383,1.000000
0.355890,1.000000
0.358396,1.000000
0.360902,1.000000
0.363409,1.000000
0.365915,1.000000
0.368421,1.000000
0.370927,1.000000
0.373434,1.000000
0.375940,1.000000
0.378446,1.000000
