TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
0.000000000000000e+00 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
2.000000000000000e-03 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
4.000000000000000e-03 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
6.000000000000000e-03 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
8.000000000000000e-03 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
1.000000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
1.200000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
1.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
1.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
1.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
2.000000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
2.200000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
2.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
2.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
2.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
3.000000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
3.200000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
3.400000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
3.600000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
3.800000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
4.000000000000000e-02 4.450000000000000e-01 6.980000000000000e-01 3.528000000000000e+00
