beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
0.0,completed,completed,0.16,rho,0.018971083074767883,0.06586394048312062,0.6680678816337711,6.4454518258,0.2537514983662289,0.245588955587549
0.0,completed,completed,0.16,u,0.01159480169298592,0.044822338494000476,0.629704628406355,6.273398578499999,0.0,0.28880248679364495
0.0,completed,completed,0.16,p,0.019131014083130875,0.08161445368336148,1.06694138604242,10.389529299899998,0.0,0.0
0.25,completed,completed,0.16,rho,0.021128759046616354,0.10321910798708671,0.8040673094124511,2.2893481094,0.019507191266228907,0.13329762218754904
0.25,completed,completed,0.16,u,0.02527374948738444,0.16357710763981617,1.528679463106355,2.8023566973000005,0.0,0.12757148299364496
0.25,completed,completed,0.16,p,0.032623892146136785,0.20925328031982257,1.89507037164242,3.9030363177,0.0,0.0
0.5,completed,completed,0.16,rho,0.026433948923461195,0.11757381946969765,0.8040826477124511,2.0506356078,0.0003566140662288886,0.0836009061875489
0.5,completed,completed,0.16,u,0.03426099810231091,0.19471673735093115,1.528718254106355,2.5129664839,0.0,0.052932943893645
0.5,completed,completed,0.16,p,0.04336474502712132,0.24741328775050192,1.8950948965424201,3.3040038635,0.0,0.0
0.75,completed,completed,0.16,rho,0.02901915601326757,0.12260446170939386,0.8040822884124511,1.9784405601000006,0.0,0.05594027138754898
0.75,completed,completed,0.16,u,0.038559638934206254,0.20573032304804906,1.528717345506355,2.4057746207000004,0.0,0.012196011893645053
0.75,completed,completed,0.16,p,0.04877422166398144,0.26141210115023616,1.8950943221424201,3.0818172615000012,0.0,0.0
1.0,completed,completed,0.16,rho,0.0300077274263221,0.1235187559195832,0.804078590512451,1.9562079684,0.0,0.04612323618754899
1.0,completed,completed,0.16,u,0.0401528056210824,0.2076610441087271,1.528707993706355,2.3710913337,0.0,0.0
1.0,completed,completed,0.16,p,0.05071899631221179,0.2643185204696256,1.8950884096424199,3.0106687255000013,0.0,0.0
1.5,completed,completed,0.16,rho,0.03069807049367237,0.12241276650823862,0.804046185712451,1.9465951885000004,0.0,0.04158040238754901
1.5,completed,completed,0.16,u,0.04083815203741563,0.20446903639396033,1.528626037806355,2.3534563585,0.0,0.0
1.5,completed,completed,0.16,p,0.05165161627106937,0.2615322753609628,1.89503659334242,2.9762405117000004,0.0,0.0
