TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
0.000000000000000e+00 6.845782918000000e-01 -1.136985031600000e+00 2.353273805200000e+00
2.000000000000000e-03 6.845782918000000e-01 -1.136985031600000e+00 2.353273805200000e+00
4.000000000000000e-03 6.801236319000000e-01 -1.122521184400000e+00 2.331749810600000e+00
6.000000000000000e-03 6.771660835000000e-01 -1.113049545100000e+00 2.317682061500000e+00
8.000000000000000e-03 6.734766019000000e-01 -1.100958795600000e+00 2.299895708000000e+00
1.000000000000000e-02 6.702458321000000e-01 -1.090506340400000e+00 2.284585701600000e+00
1.200000000000000e-02 6.667541023000000e-01 -1.078979381600000e+00 2.267819875800000e+00
1.400000000000000e-02 6.634439180000000e-01 -1.068167858400000e+00 2.252186348200000e+00
1.600000000000000e-02 6.600458119000000e-01 -1.056870527000000e+00 2.235944765400000e+00
1.800000000000000e-02 6.567179604000000e-01 -1.045902479000000e+00 2.220279016000000e+00
2.000000000000000e-02 6.533747706000000e-01 -1.034705815600000e+00 2.204376576900000e+00
2.200000000000000e-02 6.500549593000000e-01 -1.023662992500000e+00 2.188799023900000e+00
2.400000000000000e-02 6.467498012000000e-01 -1.012511580900000e+00 2.173154747700000e+00
2.600000000000000e-02 6.434483485000000e-01 -1.001434102200000e+00 2.157713472100000e+00
2.800000000000000e-02 6.401723150999999e-01 -9.903069830000000e-01 2.142283014900000e+00
3.000000000000000e-02 6.368931041000000e-01 -9.792166671000000e-01 2.126995905500000e+00
3.200000000000000e-02 6.336421024000000e-01 -9.681041615000000e-01 2.111757843500000e+00
3.400000000000000e-02 6.303873585000001e-01 -9.570094716000001e-01 2.096635785600000e+00
3.600000000000000e-02 6.271604995000000e-01 -9.459043012000000e-01 2.081583041700000e+00
3.800000000000000e-02 6.239316558000000e-01 -9.348070567000000e-01 2.066633791500000e+00
4.000000000000000e-02 6.207290808000000e-01 -9.237043349000000e-01 2.051764179200000e+00
4.200000000000000e-02 6.175269561000000e-01 -9.126047751000000e-01 2.036991647100000e+00
4.400000000000000e-02 6.143486838000000e-01 -9.015020468000000e-01 2.022303543800000e+00
4.600000000000000e-02 6.111736755000000e-01 -8.904003770000000e-01 2.007708741500000e+00
4.800000000000000e-02 6.080195942000000e-01 -8.792967086000000e-01 1.993200377200000e+00
5.000000000000000e-02 6.048717710000000e-01 -8.681932216000000e-01 1.978782861100000e+00
5.200000000000000e-02 6.017418882000000e-01 -8.570883636000000e-01 1.964452428300000e+00
5.400000000000000e-02 5.986209662000000e-01 -8.459833342000000e-01 1.950211151500000e+00
5.600000000000000e-02 5.955155479000001e-01 -8.348773049000000e-01 1.936056918200000e+00
5.800000000000000e-02 5.924210043000000e-01 -8.237709730000000e-01 1.921990585100000e+00
