beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
0.5,completed,completed,0.15,rho,0.0016563255915339533,0.0026295602358494476,0.008544744306232865,0.5839082635999998,0.001256897412307001,0.0028193873355601973
0.5,completed,completed,0.15,u,0.006557940016681053,0.011009924130372276,0.04197866948876071,2.2905852838,0.0,0.009688523255427128
0.5,completed,completed,0.15,p,0.006834567370489685,0.011222522213906544,0.03325252746737206,2.5392264164000005,0.0013158101228569752,0.01370697190454484
0.75,completed,completed,0.15,rho,0.0021734177608339527,0.0032912380660455685,0.010917884206232908,0.5899656377,0.0053194270123069765,0.002282814135560196
0.75,completed,completed,0.15,u,0.008137979427581052,0.013778979251751065,0.053518631688760705,2.2819233125,0.0,0.007758181055427027
0.75,completed,completed,0.15,p,0.008180671525992556,0.013216145178817295,0.04254215526737215,2.5302524487999998,0.0,0.011108951304545034
1.0,completed,completed,0.15,rho,0.0026417712304785505,0.003970340929822252,0.01296889240623289,0.5921459450000001,0.006701733312307001,0.0019749148355602264
1.0,completed,completed,0.15,u,0.009876437159481052,0.01677234058370375,0.0634509762887607,2.2801048556,0.0,0.006692014655427014
1.0,completed,completed,0.15,p,0.009752463898092556,0.015654271823571698,0.05058994666737204,2.5274079066999997,0.0,0.009609654604544993
1.5,completed,completed,0.15,rho,0.0034366416212739167,0.005091666130904529,0.0158943298062329,0.5942068355,0.007970503712307009,0.0017141571355602236
1.5,completed,completed,0.15,u,0.012903928298081051,0.02175258654075749,0.07755697558876071,2.2788409362,0.0,0.005998486555427007
1.5,completed,completed,0.15,p,0.012564615152192548,0.0199555600247919,0.06210349966737194,2.5251834403999998,0.0,0.008377884804545044
