run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,3,on,rho,0.25,0.2,101,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,3,on,rho,0.25,0.2,101,1,0.15,failed,solver returned 1,,u,,,,,,
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,3,on,rho,0.25,0.2,101,1,0.15,failed,solver returned 1,,p,,,,,,
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,3,on,rho,0.25,0.2,201,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,3,on,rho,0.25,0.2,201,1,0.15,failed,solver returned 1,,u,,,,,,
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,3,on,rho,0.25,0.2,201,1,0.15,failed,solver returned 1,,p,,,,,,
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,3,on,rho,0.25,0.2,501,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,3,on,rho,0.25,0.2,501,1,0.15,failed,solver returned 1,,u,,,,,,
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,3,on,rho,0.25,0.2,501,1,0.15,failed,solver returned 1,,p,,,,,,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,3,on,rho,0.25,0.2,1001,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,3,on,rho,0.25,0.2,1001,1,0.15,failed,solver returned 1,,u,,,,,,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,3,on,rho,0.25,0.2,1001,1,0.15,failed,solver returned 1,,p,,,,,,
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,3,on,rho,0.25,0.5,101,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,3,on,rho,0.25,0.5,101,1,0.15,failed,solver returned 1,,u,,,,,,
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,3,on,rho,0.25,0.5,101,1,0.15,failed,solver returned 1,,p,,,,,,
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,3,on,rho,0.25,0.5,201,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,3,on,rho,0.25,0.5,201,1,0.15,failed,solver returned 1,,u,,,,,,
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,3,on,rho,0.25,0.5,201,1,0.15,failed,solver returned 1,,p,,,,,,
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,3,on,rho,0.25,0.5,501,1,0.15,failed,solver returned 1,,rho,,,,,,
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,3,on,rho,0.25,0.5,501,1,0.15,failed,solver returned 1,,u,,,,,,
