TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
0.000000000000000e+00 9.999999874000000e-01 -1.999999990600000e+00 3.999999929000000e-01
2.000000000000000e-03 9.999999874000000e-01 -1.999999990600000e+00 3.999999929000000e-01
4.000000000000000e-03 9.999999709000000e-01 -1.999999978200000e+00 3.999999837000000e-01
6.000000000000000e-03 9.999999446000000e-01 -1.999999958600000e+00 3.999999690000000e-01
8.000000000000000e-03 9.999998932000000e-01 -1.999999920100000e+00 3.999999402000000e-01
1.000000000000000e-02 9.999997986000000e-01 -1.999999849300000e+00 3.999998872000000e-01
1.200000000000000e-02 9.999996282000000e-01 -1.999999721800000e+00 3.999997918000000e-01
1.400000000000000e-02 9.999993317000000e-01 -1.999999499900000e+00 3.999996258000000e-01
1.600000000000000e-02 9.999988336000000e-01 -1.999999127100000e+00 3.999993468000000e-01
1.800000000000000e-02 9.999980247000000e-01 -1.999998521800000e+00 3.999988938000000e-01
2.000000000000000e-02 9.999967502000000e-01 -1.999997568100000e+00 3.999981801000000e-01
2.200000000000000e-02 9.999947915000000e-01 -1.999996102300000e+00 3.999970832000000e-01
2.400000000000000e-02 9.999918408000000e-01 -1.999993894200000e+00 3.999954309000000e-01
2.600000000000000e-02 9.999874667999999e-01 -1.999990621000000e+00 3.999929815000000e-01
2.800000000000000e-02 9.999810686000000e-01 -1.999985833000000e+00 3.999893985000000e-01
3.000000000000000e-02 9.999718143000000e-01 -1.999978907700000e+00 3.999842162000000e-01
3.200000000000000e-02 9.999585619000000e-01 -1.999968990300000e+00 3.999767950000000e-01
3.400000000000000e-02 9.999397567000000e-01 -1.999954917600000e+00 3.999662645000000e-01
3.600000000000000e-02 9.999133017000000e-01 -1.999935119800000e+00 3.999514505000000e-01
3.800000000000000e-02 9.998763946000000e-01 -1.999907499700000e+00 3.999307840000000e-01
4.000000000000000e-02 9.998253283000000e-01 -1.999869282600000e+00 3.999021897000000e-01
4.200000000000000e-02 9.997552498000000e-01 -1.999816835300000e+00 3.998629512000000e-01
4.400000000000000e-02 9.996598751000000e-01 -1.999745452900000e+00 3.998095513000000e-01
4.600000000000000e-02 9.995311603000000e-01 -1.999649111300000e+00 3.997374893000000e-01
4.800000000000000e-02 9.993589342000000e-01 -1.999520190500000e+00 3.996410754000000e-01
5.000000000000000e-02 9.991304988000000e-01 -1.999349173600000e+00 3.995132094000000e-01
5.200000000000000e-02 9.988302172000000e-01 -1.999124332500000e+00 3.993451520000000e-01
5.400000000000000e-02 9.984391094000000e-01 -1.998831419800000e+00 3.991263028000000e-01
5.600000000000000e-02 9.979344917000000e-01 -1.998453386200000e+00 3.988440039000000e-01
5.800000000000000e-02 9.972896988000000e-01 -1.997970156300000e+00 3.984833923000000e-01
6.000000000000000e-02 9.964739370000000e-01 -1.997358493600000e+00 3.980273300000000e-01
6.200000000000000e-02 9.954523228000000e-01 -1.996591993900000e+00 3.974564396000000e-01
6.400000000000000e-02 9.941861561999999e-01 -1.995641242600000e+00 3.967492775000000e-01
6.600000000000000e-02 9.926334743000000e-01 -1.994474165800000e+00 3.958826679000000e-01
6.800000000000000e-02 9.907499135000000e-01 -1.993056598400000e+00 3.948322132000000e-01
7.000000000000001e-02 9.884898861000000e-01 -1.991353071500000e+00 3.935729840000000e-01
7.199999999999999e-02 9.858080447000001e-01 -1.989327806100000e+00 3.920803711000000e-01
7.400000000000000e-02 9.826609752000000e-01 -1.986945871900000e+00 3.903310635000000e-01
7.600000000000000e-02 9.790090211000000e-01 -1.984174452700000e+00 3.883040947000000e-01
7.800000000000000e-02 9.748181165000001e-01 -1.980984135100000e+00 3.859818836000000e-01
8.000000000000000e-02 9.700614821000000e-01 -1.977350128500000e+00 3.833511865000000e-01
8.200000000000000e-02 9.647210408000000e-01 -1.973253319900000e+00 3.804038749000000e-01
8.400000000000001e-02 9.587884234000000e-01 -1.968681076800000e+00 3.771374664000000e-01
8.599999999999999e-02 9.522654691000000e-01 -1.963627729700000e+00 3.735553560000000e-01
8.799999999999999e-02 9.451641749000000e-01 -1.958094696300000e+00 3.696667241000000e-01
9.000000000000000e-02 9.375060999000000e-01 -1.952090240800000e+00 3.654861295000000e-01
9.200000000000000e-02 9.293212869000000e-01 -1.945628897300000e+00 3.610328288000000e-01
9.400000000000000e-02 9.206468068000000e-01 -1.938730615700000e+00 3.563298866000000e-01
9.600000000000000e-02 9.115250591000000e-01 -1.931419708900000e+00 3.514031586000000e-01
9.800000000000000e-02 9.020019751000000e-01 -1.923723693100000e+00 3.462802331000000e-01
1.000000000000000e-01 8.921252608000000e-01 -1.915672110700000e+00 3.409894109000000e-01
1.020000000000000e-01 8.819427939000000e-01 -1.907295416100000e+00 3.355587894000000e-01
1.040000000000000e-01 8.715012607000000e-01 -1.898623989000000e+00 3.300154963000000e-01
1.060000000000000e-01 8.608450790000000e-01 -1.889687315700000e+00 3.243850980000000e-01
1.080000000000000e-01 8.500156214000000e-01 -1.880513359700000e+00 3.186911862000000e-01
1.100000000000000e-01 8.390507261000000e-01 -1.871128122300000e+00 3.129551329000000e-01
1.120000000000000e-01 8.279844598000000e-01 -1.861555378100000e+00 3.071959894000000e-01
1.140000000000000e-01 8.168470866000000e-01 -1.851816560900000e+00 3.014305018000000e-01
1.160000000000000e-01 8.056651934000000e-01 -1.841930769600000e+00 2.956732122000000e-01
1.180000000000000e-01 7.944619230000000e-01 -1.831914862700000e+00 2.899366179000000e-01
