run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
run_0001,visc_on_sensor_rho_beta_1_cfl_0p01_nx_501_mode_2,4,on,rho,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0001,visc_on_sensor_rho_beta_1_cfl_0p01_nx_501_mode_2,4,on,rho,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0001,visc_on_sensor_rho_beta_1_cfl_0p01_nx_501_mode_2,4,on,rho,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0002,visc_on_sensor_rho_beta_1_cfl_0p02_nx_501_mode_2,4,on,rho,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0002,visc_on_sensor_rho_beta_1_cfl_0p02_nx_501_mode_2,4,on,rho,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0002,visc_on_sensor_rho_beta_1_cfl_0p02_nx_501_mode_2,4,on,rho,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0003,visc_on_sensor_rho_beta_1_cfl_0p05_nx_501_mode_2,4,on,rho,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0003,visc_on_sensor_rho_beta_1_cfl_0p05_nx_501_mode_2,4,on,rho,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0003,visc_on_sensor_rho_beta_1_cfl_0p05_nx_501_mode_2,4,on,rho,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0004,visc_on_sensor_rho_beta_1_cfl_0p1_nx_501_mode_2,4,on,rho,1.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0004,visc_on_sensor_rho_beta_1_cfl_0p1_nx_501_mode_2,4,on,rho,1.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0004,visc_on_sensor_rho_beta_1_cfl_0p1_nx_501_mode_2,4,on,rho,1.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0005,visc_on_sensor_p_beta_1_cfl_0p01_nx_501_mode_2,4,on,p,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0005,visc_on_sensor_p_beta_1_cfl_0p01_nx_501_mode_2,4,on,p,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0005,visc_on_sensor_p_beta_1_cfl_0p01_nx_501_mode_2,4,on,p,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0006,visc_on_sensor_p_beta_1_cfl_0p02_nx_501_mode_2,4,on,p,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0006,visc_on_sensor_p_beta_1_cfl_0p02_nx_501_mode_2,4,on,p,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0006,visc_on_sensor_p_beta_1_cfl_0p02_nx_501_mode_2,4,on,p,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0007,visc_on_sensor_p_beta_1_cfl_0p05_nx_501_mode_2,4,on,p,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
run_0007,visc_on_sensor_p_beta_1_cfl_0p05_nx_501_mode_2,4,on,p,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,u,,,,,,
run_0007,visc_on_sensor_p_beta_1_cfl_0p05_nx_501_mode_2,4,on,p,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,p,,,,,,
run_0008,visc_on_sensor_p_beta_1_cfl_0p1_nx_501_mode_2,4,on,p,1.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,,rho,,,,,,
