run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0001,visc_on_sensor_rho_beta_1_cfl_0p01_nx_501_mode_2,4,on,rho,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0002,visc_on_sensor_rho_beta_1_cfl_0p02_nx_501_mode_2,4,on,rho,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0003,visc_on_sensor_rho_beta_1_cfl_0p05_nx_501_mode_2,4,on,rho,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0004,visc_on_sensor_rho_beta_1_cfl_0p1_nx_501_mode_2,4,on,rho,1.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0005,visc_on_sensor_p_beta_1_cfl_0p01_nx_501_mode_2,4,on,p,1.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0006,visc_on_sensor_p_beta_1_cfl_0p02_nx_501_mode_2,4,on,p,1.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0007,visc_on_sensor_p_beta_1_cfl_0p05_nx_501_mode_2,4,on,p,1.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0008,visc_on_sensor_p_beta_1_cfl_0p1_nx_501_mode_2,4,on,p,1.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0009,visc_on_sensor_rho_beta_3_cfl_0p01_nx_501_mode_2,4,on,rho,3.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0010,visc_on_sensor_rho_beta_3_cfl_0p02_nx_501_mode_2,4,on,rho,3.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0011,visc_on_sensor_rho_beta_3_cfl_0p05_nx_501_mode_2,4,on,rho,3.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0012,visc_on_sensor_rho_beta_3_cfl_0p1_nx_501_mode_2,4,on,rho,3.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0013,visc_on_sensor_p_beta_3_cfl_0p01_nx_501_mode_2,4,on,p,3.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0014,visc_on_sensor_p_beta_3_cfl_0p02_nx_501_mode_2,4,on,p,3.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0015,visc_on_sensor_p_beta_3_cfl_0p05_nx_501_mode_2,4,on,p,3.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0016,visc_on_sensor_p_beta_3_cfl_0p1_nx_501_mode_2,4,on,p,3.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0017,visc_on_sensor_rho_beta_5_cfl_0p01_nx_501_mode_2,4,on,rho,5.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0018,visc_on_sensor_rho_beta_5_cfl_0p02_nx_501_mode_2,4,on,rho,5.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0019,visc_on_sensor_rho_beta_5_cfl_0p05_nx_501_mode_2,4,on,rho,5.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0020,visc_on_sensor_rho_beta_5_cfl_0p1_nx_501_mode_2,4,on,rho,5.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0021,visc_on_sensor_p_beta_5_cfl_0p01_nx_501_mode_2,4,on,p,5.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0022,visc_on_sensor_p_beta_5_cfl_0p02_nx_501_mode_2,4,on,p,5.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0023,visc_on_sensor_p_beta_5_cfl_0p05_nx_501_mode_2,4,on,p,5.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0024,visc_on_sensor_p_beta_5_cfl_0p1_nx_501_mode_2,4,on,p,5.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0025,visc_on_sensor_rho_beta_10_cfl_0p01_nx_501_mode_2,4,on,rho,10.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0026,visc_on_sensor_rho_beta_10_cfl_0p02_nx_501_mode_2,4,on,rho,10.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0027,visc_on_sensor_rho_beta_10_cfl_0p05_nx_501_mode_2,4,on,rho,10.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0028,visc_on_sensor_rho_beta_10_cfl_0p1_nx_501_mode_2,4,on,rho,10.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0029,visc_on_sensor_p_beta_10_cfl_0p01_nx_501_mode_2,4,on,p,10.0,0.01,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0030,visc_on_sensor_p_beta_10_cfl_0p02_nx_501_mode_2,4,on,p,10.0,0.02,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0031,visc_on_sensor_p_beta_10_cfl_0p05_nx_501_mode_2,4,on,p,10.0,0.05,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0032,visc_on_sensor_p_beta_10_cfl_0p1_nx_501_mode_2,4,on,p,10.0,0.1,501,2,0.15,failed,missing numerical.dat or numerical_exact.dat,
