beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
0.0,completed,completed,0.2,rho,0.005092841704417738,0.017286016528238357,0.1995541508453088,2.7548491872000005,0.014551272425819717,0.0
0.0,completed,completed,0.2,u,0.003894325056469219,0.008348599947572252,0.046681622601191915,1.216590039,0.0,0.0
0.0,completed,completed,0.2,p,0.0018713957124145608,0.0037977598433642907,0.017496871860527785,0.6231575045999999,0.017496871860527785,0.0
0.25,completed,completed,0.2,rho,0.0028641833723861577,0.01279141837255266,0.17399290234530884,0.8344167524000001,0.006826381525819714,0.0
0.25,completed,completed,0.2,u,0.0024369502064566233,0.005533064500905416,0.021697939801191918,0.7742357036,0.0,0.0
0.25,completed,completed,0.2,p,0.0012659895897816423,0.0028395732277014724,0.01553769129999999,0.42601672459999973,0.008243775460527791,0.0
0.5,completed,completed,0.2,rho,0.0032770877418088857,0.01400380496248663,0.16340966014530878,0.8092486631999998,0.0022755143258197386,0.0
0.5,completed,completed,0.2,u,0.00234679527790588,0.00554906075386811,0.024652901498808083,0.7188670766,0.0,0.0
0.5,completed,completed,0.2,p,0.001269156681934547,0.0030134725214285693,0.01724590079999999,0.40281043659999993,0.002752758360527796,0.0
0.75,completed,completed,0.2,rho,0.003686959761219705,0.01498865260748372,0.15868013114530888,0.8032377010000001,0.0004422743258197248,0.0
0.75,completed,completed,0.2,u,0.0024903867855309092,0.006038014115384225,0.02837372969880808,0.7036935237999999,0.0,0.0
0.75,completed,completed,0.2,p,0.0013655039177492196,0.003306770445815867,0.018648766799999994,0.3966671963999998,0.0005317907605277838,0.0
1.0,completed,completed,0.2,rho,0.004063864903386638,0.015788773459977545,0.15683408104530883,0.8019340558000001,4.7761825819725434e-05,0.0
1.0,completed,completed,0.2,u,0.0027178600878794,0.006562208588755383,0.03147618639880809,0.7002010032,0.0,0.0
1.0,completed,completed,0.2,p,0.0014925418968106078,0.003595221950931084,0.019864911400000018,0.3952726428000001,3.868266052781122e-05,0.0
1.5,completed,completed,0.2,rho,0.004702188778767452,0.017038496570409328,0.1615798071741803,0.8018600038,5.173582581974312e-05,0.0
1.5,completed,completed,0.2,u,0.0031567657278184346,0.007512601862706563,0.036454970198808084,0.7001437142,0.0,0.0
1.5,completed,completed,0.2,p,0.0017328029383986779,0.00410749897723851,0.021896186900000003,0.3952384341999998,1.9186360527778668e-05,0.0
