run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,5,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,rho,0.011328005612537296,0.025052192237297738,0.1621983888453088,0.8549932505,0.013889222725819717,0.0
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,5,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,u,0.012310733156001522,0.023012843070109146,0.08505680744993613,0.8553506412,0.0,0.0
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,5,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,p,0.006289693034532723,0.011352606903976362,0.03451606657393108,0.45705182859999993,0.01665168386052779,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,5,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,rho,0.006674535118709401,0.019836651922549766,0.18353645944530883,0.8349064118,0.009414375125819718,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,5,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,u,0.006266672045069211,0.012814265626758935,0.04738983104993613,0.7911886686000001,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,5,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,p,0.00325853811529794,0.006510039965266952,0.024000550399999987,0.43120156740000004,0.011341106760527797,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,5,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,rho,0.00319051539480035,0.013569702407778269,0.1675048661453088,0.8190703543999996,0.005543893925819721,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,5,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,u,0.002553982371718603,0.005796600415328104,0.021743640998808086,0.7475638092,0.0,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,5,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,p,0.0013485527044553084,0.0030576407812268227,0.016683352900000004,0.4139523531999999,0.006699233060527776,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,5,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,rho,0.0018516437791393598,0.010699198474204918,0.17369231154530884,0.8127194073999998,0.0037836141258197342,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,5,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,u,0.0012872682904950998,0.0031491545041084936,0.014267063254936985,0.7305568231999999,0.0,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,5,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,p,0.0006843645461264647,0.001702630766722395,0.01179222456738599,0.4072098019999998,0.0045777076605277855,0.0
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,5,on,rho,0.25,0.5,101,1,0.2,completed,completed,0.2,rho,0.010386931159037294,0.023894479394017724,0.17077030884530886,0.8778349764,0.015002573425819732,0.0
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,5,on,rho,0.25,0.5,101,1,0.2,completed,completed,0.2,u,0.011823457177501523,0.02197674129030576,0.08103885544993614,0.8825828733000001,0.0,0.0
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,5,on,rho,0.25,0.5,101,1,0.2,completed,completed,0.2,p,0.005980427310874946,0.010707525650547013,0.03282076977393111,0.47062865310000007,0.017989292960527814,0.0
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,5,on,rho,0.25,0.5,201,1,0.2,completed,completed,0.2,rho,0.006111263987742184,0.019193903835587608,0.19332664574530878,0.8574143325999999,0.010848448025819746,0.0
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,5,on,rho,0.25,0.5,201,1,0.2,completed,completed,0.2,u,0.006017113705805701,0.012239234152490161,0.04512582774993612,0.8277656852,0.0,0.0
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,5,on,rho,0.25,0.5,201,1,0.2,completed,completed,0.2,p,0.0030878806494208893,0.0061000030248479975,0.022460480399999982,0.4480493595999999,0.013062288760527785,0.0
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,5,on,rho,0.25,0.5,501,1,0.2,completed,completed,0.2,rho,0.0028641833723861577,0.01279141837255266,0.17399290234530884,0.8344167524000001,0.006826381525819714,0.0
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,5,on,rho,0.25,0.5,501,1,0.2,completed,completed,0.2,u,0.0024369502064566233,0.005533064500905416,0.021697939801191918,0.7742357036,0.0,0.0
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,5,on,rho,0.25,0.5,501,1,0.2,completed,completed,0.2,p,0.0012659895897816423,0.0028395732277014724,0.01553769129999999,0.42601672459999973,0.008243775460527791,0.0
run_0008,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_1001_mode_1,5,on,rho,0.25,0.5,1001,1,0.2,completed,completed,0.2,rho,0.0016498327602977444,0.010108979023830103,0.18030003304530884,0.8237694382000001,0.004882505125819725,0.0
run_0008,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_1001_mode_1,5,on,rho,0.25,0.5,1001,1,0.2,completed,completed,0.2,u,0.001218865379530188,0.003010666660819331,0.015485979801191915,0.750361117,0.0,0.0
run_0008,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_1001_mode_1,5,on,rho,0.25,0.5,1001,1,0.2,completed,completed,0.2,p,0.0006368211183191474,0.0015729362697706414,0.010939772967386019,0.41608823060000033,0.005903750160527799,0.0
run_0009,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_101_mode_1,5,on,rho,0.25,0.8,101,1,0.2,completed,completed,0.2,rho,0.00947647931322494,0.022777791754429684,0.18263429794530883,0.9782161952000002,0.017731432425819704,0.0
run_0009,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_101_mode_1,5,on,rho,0.25,0.8,101,1,0.2,completed,completed,0.2,u,0.011572647727049194,0.021142561191723235,0.07415885464993613,0.9680164036,0.0,0.0
run_0009,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_101_mode_1,5,on,rho,0.25,0.8,101,1,0.2,completed,completed,0.2,p,0.005730406232585501,0.010047257711190334,0.029952397700000022,0.5105191116000001,0.02124032066052778,0.0
run_0010,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_201_mode_1,5,on,rho,0.25,0.8,201,1,0.2,completed,completed,0.2,rho,0.005500627115180407,0.018598062674344565,0.2083373469453088,0.9205041651999997,0.013492586025819708,0.0
run_0010,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_201_mode_1,5,on,rho,0.25,0.8,201,1,0.2,completed,completed,0.2,u,0.005907702821281863,0.011883021711725663,0.043207269101191915,0.9142326540000001,0.0,0.0
run_0010,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_201_mode_1,5,on,rho,0.25,0.8,201,1,0.2,completed,completed,0.2,p,0.002959271469473668,0.005727684892586037,0.020041813500000005,0.48821407939999995,0.016224601560527796,0.0
run_0011,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_501_mode_1,5,on,rho,0.25,0.8,501,1,0.2,completed,completed,0.2,rho,0.0024910092693339256,0.011821775904371147,0.18403155904530888,0.878138753,0.008842851625819714,0.0
run_0011,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_501_mode_1,5,on,rho,0.25,0.8,501,1,0.2,completed,completed,0.2,u,0.0023685672374706697,0.005467612262735065,0.02817477850119192,0.841274053,0.0,0.0
run_0011,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_501_mode_1,5,on,rho,0.25,0.8,501,1,0.2,completed,completed,0.2,p,0.001198802007539927,0.0026799941623158216,0.013800976799999976,0.4574058484000004,0.010667163560527826,0.0
run_0012,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_1001_mode_1,5,on,rho,0.25,0.8,1001,1,0.2,completed,completed,0.2,rho,0.0014180330237677317,0.009390440637522583,0.19176873314530885,0.8567328223999999,0.006540806225819706,0.0
run_0012,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_1001_mode_1,5,on,rho,0.25,0.8,1001,1,0.2,completed,completed,0.2,u,0.0011726517068605903,0.0030408196516746497,0.02078589550119192,0.8026107946,0.0,0.0
run_0012,visc_on_sensor_rho_beta_0p25_cfl_0p8_nx_1001_mode_1,5,on,rho,0.25,0.8,1001,1,0.2,completed,completed,0.2,p,0.0005962836828133828,0.0014999944057258597,0.00966909326738602,0.4405114249999996,0.007901513060527776,0.0
run_0013,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_101_mode_1,5,on,u,0.25,0.2,101,1,0.2,completed,completed,0.2,rho,0.012127301903053691,0.027638772240443116,0.17636871974530888,0.8520818970999999,0.011315756225819706,0.0
run_0013,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_101_mode_1,5,on,u,0.25,0.2,101,1,0.2,completed,completed,0.2,u,0.011848221737096874,0.022823891437434445,0.08741775274993613,0.8227357162000001,0.0,0.0
run_0013,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_101_mode_1,5,on,u,0.25,0.2,101,1,0.2,completed,completed,0.2,p,0.006123788564874942,0.011325206480237493,0.03552020807393108,0.44537160909999984,0.013575727660527781,0.0
run_0014,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_201_mode_1,5,on,u,0.25,0.2,201,1,0.2,completed,completed,0.2,rho,0.007240659701000383,0.02171445243335162,0.18834984624530882,0.8344283697999999,0.00789861742581971,0.0
run_0014,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_201_mode_1,5,on,u,0.25,0.2,201,1,0.2,completed,completed,0.2,u,0.0061557696584267855,0.012765336277684057,0.04908656014993612,0.7780879456,0.0,0.0
