beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
0.0,completed,completed,0.2,rho,0.008252312125432322,0.03470812217522247,0.37373476428299723,4.706909061799999,0.0,0.23702356494124488
0.0,completed,completed,0.2,u,0.005094127487807649,0.02283513706553434,0.28726104426226373,2.8184900048,0.0,0.0
0.0,completed,completed,0.2,p,0.007035611608037691,0.032065544480312916,0.434927783180145,3.8074378276000003,0.0,0.19638067851985497
0.25,completed,completed,0.2,rho,0.00865334916994352,0.04750215764098335,0.4347199439829973,1.6847073498,0.0,0.05142513264124493
0.25,completed,completed,0.2,u,0.005668819849890385,0.04288861904652127,0.4929869961377363,1.3229384352,0.0,0.0
0.25,completed,completed,0.2,p,0.0071984694515744895,0.05353461837289547,0.599417073480145,1.5499085378,0.0,0.07494521221985506
0.5,completed,completed,0.2,rho,0.010507571416710531,0.05256368987654727,0.4361526729829973,1.5403491053999994,0.0,0.01712599344124488
0.5,completed,completed,0.2,u,0.006922352009384716,0.05017774345925861,0.5302812453377362,1.103884275,0.0,0.0
0.5,completed,completed,0.2,p,0.008577550524692175,0.06053527838429064,0.599901337680145,1.249866940400001,0.0,0.035105843019854976
0.75,completed,completed,0.2,rho,0.01129251624527957,0.05376634865009058,0.4303786248829973,1.5028674081999998,0.0,0.005571656241244893
0.75,completed,completed,0.2,u,0.007117667315135661,0.05106882444619925,0.5329123798377362,1.0390870883999999,0.0,0.0
0.75,completed,completed,0.2,p,0.008739103875771592,0.06056532548640304,0.592980390880145,1.1654059759999988,0.0,0.01771088941985499
1.0,completed,completed,0.2,rho,0.011739377503749608,0.05408200515935448,0.42627401808299725,1.4924155690000003,0.0,0.003182516841244931
1.0,completed,completed,0.2,u,0.00693986849233188,0.04960418335090222,0.5259541843377362,1.014528709,0.0,0.0
1.0,completed,completed,0.2,p,0.008508846278251011,0.05846766724049392,0.5822515096801449,1.1363710298000007,0.0,0.007942886319854958
1.5,completed,completed,0.2,rho,0.0124559017645577,0.054766650846323414,0.42037708018299724,1.4883317721999996,0.0,0.0028547640412448505
1.5,completed,completed,0.2,u,0.00642441853133188,0.04522880041562345,0.49846957033773626,1.0015351652,0.0,0.0
1.5,completed,completed,0.2,p,0.00794446657801275,0.05382300357494058,0.559188047780145,1.1221806983999998,0.0,0.0014785633198550752
