beta,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
0.0,completed,completed,0.2,rho,0.0972514280367806,0.4628068689592441,5.502495379939798,23.332154191800004,0.0,2.3194428780000003
0.0,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
0.0,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
0.25,completed,completed,0.2,rho,0.062286831839899,0.42736534705810664,5.386957696039799,9.745911249799999,0.0,0.32860508559999957
0.25,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
0.25,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
0.5,completed,completed,0.2,rho,0.06695605818118058,0.4431332201932593,5.264329719039798,9.026675564400005,0.0,0.013157595599999183
0.5,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
0.5,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
0.75,completed,completed,0.2,rho,0.07250536503898057,0.4524932885124725,5.131113725439799,9.000092355200007,0.0,4.4933999999940966e-05
0.75,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
0.75,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
1.0,completed,completed,0.2,rho,0.07748344009437652,0.4612560894029403,5.024501587139799,9.000001547800004,0.0,4.115000002968827e-07
1.0,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
1.0,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
1.5,completed,completed,0.2,rho,0.08614065907989087,0.4781508184032914,4.876224103739799,9.000000681200003,0.0,1.7750000047556114e-07
1.5,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
1.5,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
