run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,7,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,rho,0.1867281324320219,0.7378358481741463,5.029304149739799,9.390969367800004,0.0,0.17872619569999948
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,7,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,7,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,7,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,rho,0.11905436385052147,0.5930265424881361,5.197996598539799,9.249726752800008,0.0,0.11749551469999986
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,7,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,u,6.20326237044111e-10,9.717540151330132e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,7,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,p,3.0361117742128135e-09,4.756132548967327e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,7,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,rho,0.06529839168429898,0.4426170838848736,5.371694785939799,9.12391446740001,0.0,0.059750004499999676
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,7,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,7,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,7,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,rho,0.04141094844874581,0.3539398986747964,5.473859262939799,9.069103743600014,0.0,0.03379352440000005
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,7,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,u,6.172816910954282e-10,9.693664095223808e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,7,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,p,3.0212106121307873e-09,4.744446701950506e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,7,on,rho,0.25,0.5,101,1,0.2,completed,completed,0.2,rho,0.18235969719302192,0.7115488487681431,5.000194343539799,10.291856931600005,0.0,0.5298265825000001
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,7,on,rho,0.25,0.5,101,1,0.2,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,7,on,rho,0.25,0.5,101,1,0.2,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,7,on,rho,0.25,0.5,201,1,0.2,completed,completed,0.2,rho,0.11477141870731744,0.5717594097658766,5.189080598239799,10.028092871600006,0.0,0.43573892909999934
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,7,on,rho,0.25,0.5,201,1,0.2,completed,completed,0.2,u,6.20326237044111e-10,9.717540151330132e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,7,on,rho,0.25,0.5,201,1,0.2,completed,completed,0.2,p,3.0361117742128135e-09,4.756132548967327e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,7,on,rho,0.25,0.5,501,1,0.2,completed,completed,0.2,rho,0.062286831839899,0.42736534705810664,5.386957696039799,9.745911249799999,0.0,0.32860508559999957
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,7,on,rho,0.25,0.5,501,1,0.2,completed,completed,0.2,u,6.165205546082575e-10,9.687685886764224e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,7,on,rho,0.25,0.5,501,1,0.2,completed,completed,0.2,p,3.0174853216102807e-09,4.7415207400922215e-09,7.450581041013038e-09,0.0,0.0,0.0
run_0008,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_1001_mode_1,7,on,rho,0.25,0.5,1001,1,0.2,completed,completed,0.2,rho,0.039269400441304954,0.3425104762493382,5.506444190439799,9.576037689200003,0.0,0.2602612201000003
run_0008,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_1001_mode_1,7,on,rho,0.25,0.5,1001,1,0.2,completed,completed,0.2,u,6.172816910954282e-10,9.693664095223808e-10,1.5222729743413765e-09,0.0,0.0,0.0
run_0008,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_1001_mode_1,7,on,rho,0.25,0.5,1001,1,0.2,completed,completed,0.2,p,3.0212106121307873e-09,4.744446701950506e-09,7.450581041013038e-09,0.0,0.0,0.0
