run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,1,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,rho,0.009762687077802189,0.02253175854765521,0.12177891701929,0.9404524112,0.0,0.0
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,1,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,u,0.022214957322003376,0.09293929451655783,0.764848160709203,2.193210104,0.0,0.08565536889079695
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_101_mode_1,1,on,rho,0.25,0.2,101,1,0.2,completed,completed,0.2,p,0.008871733429198765,0.02543237764902936,0.17981328129305038,1.019283676,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,rho,0.0063191774812246795,0.01920805440257051,0.13424208131929,0.9414766378,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,u,0.014635447078456251,0.0866223446260476,0.8728741347092029,2.1526202164,0.0,0.08354274769079695
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,p,0.0053315124600358844,0.02160182742708533,0.1957182072930504,1.0039756128000001,0.0,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,rho,0.003824195627745953,0.015895284405231226,0.14043768081929,0.9440910984,0.0,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,u,0.01100107529360204,0.08618835724483769,0.9263002165092029,2.160355014,0.0,0.09474852159079694
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,p,0.003355196635562006,0.01984462780633099,0.20297763839305039,1.0072179212,0.0,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,1,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,rho,0.0029913918891843654,0.01498611177168523,0.14057359481929,0.9385351226000002,0.0,0.0
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,1,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,u,0.009897431479558363,0.08651426380077099,0.927451611509203,2.1413179793999997,0.0,0.08234267119079697
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_1001_mode_1,1,on,rho,0.25,0.2,1001,1,0.2,completed,completed,0.2,p,0.0027119998074277923,0.0193946287376511,0.20313003909305039,0.9998837987999999,0.0,0.0
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,1,on,rho,0.25,0.5,101,1,0.2,failed,solver returned 1,,rho,,,,,,
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,1,on,rho,0.25,0.5,101,1,0.2,failed,solver returned 1,,u,,,,,,
run_0005,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_101_mode_1,1,on,rho,0.25,0.5,101,1,0.2,failed,solver returned 1,,p,,,,,,
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,,rho,,,,,,
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,,u,,,,,,
run_0006,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,,p,,,,,,
run_0007,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,rho,0.25,0.5,501,1,0.2,failed,solver returned 1,,rho,,,,,,
