run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time,variable,L1,L2,Linf,TV,undershoot,overshoot
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,rho,0.0063191774812246795,0.01920805440257051,0.13424208131929,0.9414766378,0.0,0.0
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,u,0.014635447078456251,0.0866223446260476,0.8728741347092029,2.1526202164,0.0,0.08354274769079695
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2,p,0.0053315124600358844,0.02160182742708533,0.1957182072930504,1.0039756128000001,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,rho,0.003824195627745953,0.015895284405231226,0.14043768081929,0.9440910984,0.0,0.0
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,u,0.01100107529360204,0.08618835724483769,0.9263002165092029,2.160355014,0.0,0.09474852159079694
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2,p,0.003355196635562006,0.01984462780633099,0.20297763839305039,1.0072179212,0.0,0.0
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,,rho,,,,,,
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,,u,,,,,,
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,,p,,,,,,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,rho,0.25,0.5,501,1,0.2,failed,solver returned 1,,rho,,,,,,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,rho,0.25,0.5,501,1,0.2,failed,solver returned 1,,u,,,,,,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,rho,0.25,0.5,501,1,0.2,failed,solver returned 1,,p,,,,,,
run_0005,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,u,0.25,0.2,201,1,0.2,completed,completed,0.2,rho,0.006849156996648511,0.020368604629532754,0.13779356121929,0.9515343007999999,0.0,0.0
run_0005,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,u,0.25,0.2,201,1,0.2,completed,completed,0.2,u,0.01729280902214031,0.09986780614180406,0.903687196909203,2.1543608432,0.0,0.09306379539079701
run_0005,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,u,0.25,0.2,201,1,0.2,completed,completed,0.2,p,0.005910710817035884,0.024214229040235378,0.19995023229305037,1.0052958972000001,0.0,0.0
run_0006,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,u,0.25,0.2,501,1,0.2,completed,completed,0.2,rho,0.004290337335714514,0.01729355537704228,0.14055265201929001,0.9590999787999996,0.0,0.0
run_0006,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,u,0.25,0.2,501,1,0.2,completed,completed,0.2,u,0.013474850204675665,0.09814259056895619,0.927274285809203,2.1477991628,0.0,0.08665700629079709
run_0006,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,u,0.25,0.2,501,1,0.2,completed,completed,0.2,p,0.003907701838306409,0.02234795794309536,0.2031065789930504,1.0024780459999998,0.0,0.0
run_0007,visc_on_sensor_u_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,u,0.25,0.5,201,1,0.2,failed,solver returned 1,,rho,,,,,,
run_0007,visc_on_sensor_u_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,u,0.25,0.5,201,1,0.2,failed,solver returned 1,,u,,,,,,
