run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0001,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,rho,0.25,0.2,201,1,0.2,completed,completed,0.2
run_0002,visc_on_sensor_rho_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,rho,0.25,0.2,501,1,0.2,completed,completed,0.2
run_0003,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,rho,0.25,0.5,201,1,0.2,failed,solver returned 1,
run_0004,visc_on_sensor_rho_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,rho,0.25,0.5,501,1,0.2,failed,solver returned 1,
run_0005,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,u,0.25,0.2,201,1,0.2,completed,completed,0.2
run_0006,visc_on_sensor_u_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,u,0.25,0.2,501,1,0.2,completed,completed,0.2
run_0007,visc_on_sensor_u_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,u,0.25,0.5,201,1,0.2,failed,solver returned 1,
run_0008,visc_on_sensor_u_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,u,0.25,0.5,501,1,0.2,failed,solver returned 1,
run_0009,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_201_mode_1,1,on,p,0.25,0.2,201,1,0.2,completed,completed,0.2
run_0010,visc_on_sensor_p_beta_0p25_cfl_0p2_nx_501_mode_1,1,on,p,0.25,0.2,501,1,0.2,completed,completed,0.2
run_0011,visc_on_sensor_p_beta_0p25_cfl_0p5_nx_201_mode_1,1,on,p,0.25,0.5,201,1,0.2,failed,solver returned 1,
run_0012,visc_on_sensor_p_beta_0p25_cfl_0p5_nx_501_mode_1,1,on,p,0.25,0.5,501,1,0.2,failed,solver returned 1,
run_0013,visc_on_sensor_rho_beta_0p5_cfl_0p2_nx_201_mode_1,1,on,rho,0.5,0.2,201,1,0.2,completed,completed,0.2
run_0014,visc_on_sensor_rho_beta_0p5_cfl_0p2_nx_501_mode_1,1,on,rho,0.5,0.2,501,1,0.2,completed,completed,0.2
run_0015,visc_on_sensor_rho_beta_0p5_cfl_0p5_nx_201_mode_1,1,on,rho,0.5,0.5,201,1,0.2,completed,completed,0.2
run_0016,visc_on_sensor_rho_beta_0p5_cfl_0p5_nx_501_mode_1,1,on,rho,0.5,0.5,501,1,0.2,completed,completed,0.2
