TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
0.000000000000000e+00 4.449999978000000e-01 6.980000167000000e-01 3.527999975300000e+00
2.000000000000000e-03 4.449999978000000e-01 6.980000167000000e-01 3.527999975300000e+00
4.000000000000000e-03 4.449999950000000e-01 6.980000373000000e-01 3.527999944700000e+00
6.000000000000000e-03 4.449999906000000e-01 6.980000702000000e-01 3.527999895900000e+00
8.000000000000000e-03 4.449999821000000e-01 6.980001339000000e-01 3.527999801500000e+00
1.000000000000000e-02 4.449999664000000e-01 6.980002513000000e-01 3.527999627400000e+00
1.200000000000000e-02 4.449999377000000e-01 6.980004661000000e-01 3.527999309000000e+00
1.400000000000000e-02 4.449998862000000e-01 6.980008519000001e-01 3.527998737100000e+00
1.600000000000000e-02 4.449997954000000e-01 6.980015315000000e-01 3.527997729500000e+00
1.800000000000000e-02 4.449996392000000e-01 6.980027015000000e-01 3.527995994800000e+00
2.000000000000000e-02 4.449993769000000e-01 6.980046646000000e-01 3.527993084500000e+00
2.200000000000000e-02 4.449989488000000e-01 6.980078701000000e-01 3.527988332300000e+00
2.400000000000000e-02 4.449982679000000e-01 6.980129675000000e-01 3.527980775100000e+00
2.600000000000000e-02 4.449972112000000e-01 6.980208789000000e-01 3.527969046100000e+00
2.800000000000000e-02 4.449956058000000e-01 6.980328981000000e-01 3.527951227400000e+00
3.000000000000000e-02 4.449932115000000e-01 6.980508235000000e-01 3.527924652500000e+00
3.200000000000000e-02 4.449896975000000e-01 6.980771317000000e-01 3.527885650200000e+00
3.400000000000000e-02 4.449846132000000e-01 6.981151971000000e-01 3.527829218400000e+00
3.600000000000000e-02 4.449773519000000e-01 6.981695620000000e-01 3.527748624000000e+00
3.800000000000000e-02 4.449671075000000e-01 6.982462617000000e-01 3.527634921500000e+00
4.000000000000000e-02 4.449528242000000e-01 6.983532026000000e-01 3.527476393500000e+00
4.200000000000000e-02 4.449331399000000e-01 6.985005866000000e-01 3.527257922900000e+00
4.400000000000000e-02 4.449063252000000e-01 6.987013657000000e-01 3.526960322200000e+00
4.600000000000000e-02 4.448702230000000e-01 6.989717004000000e-01 3.526559657700000e+00
4.800000000000000e-02 4.448221922000000e-01 6.993313836000000e-01 3.526026629200000e+00
5.000000000000000e-02 4.447590630000000e-01 6.998041766999999e-01 3.525326082800000e+00
5.200000000000000e-02 4.446771136000000e-01 7.004179965000000e-01 3.524416751300000e+00
5.400000000000000e-02 4.445720757000000e-01 7.012048822000000e-01 3.523251326800000e+00
5.600000000000000e-02 4.444391787000000e-01 7.022006774000000e-01 3.521776965800000e+00
5.800000000000000e-02 4.442732413000000e-01 7.034443698000000e-01 3.519936310600000e+00
6.000000000000000e-02 4.440688108000000e-01 7.049770629000000e-01 3.517669066200000e+00
6.200000000000000e-02 4.438203535000000e-01 7.068405875000000e-01 3.514914118300000e+00
6.400000000000000e-02 4.435224830000000e-01 7.090758118000000e-01 3.511612100200000e+00
6.600000000000000e-02 4.431702163000000e-01 7.117207581000000e-01 3.507708242600000e+00
6.800000000000000e-02 4.427592328000000e-01 7.148086790000000e-01 3.503155269000000e+00
7.000000000000001e-02 4.422861146000000e-01 7.183662727000000e-01 3.497916063200000e+00
7.199999999999999e-02 4.417485412000000e-01 7.224122205000000e-01 3.491965826800000e+00
7.400000000000000e-02 4.411454180000000e-01 7.269562042000000e-01 3.485293490700000e+00
7.600000000000000e-02 4.404769246000000e-01 7.319985085000000e-01 3.477902222600000e+00
7.800000000000000e-02 4.397444783000000e-01 7.375302446999999e-01 3.469808985100000e+00
8.000000000000000e-02 4.389506187000000e-01 7.435341558000000e-01 3.461043213200000e+00
8.200000000000000e-02 4.380988286000000e-01 7.499858966000000e-01 3.451644783700000e+00
8.400000000000001e-02 4.371933126000000e-01 7.568556348000000e-01 3.441661518100000e+00
