run_id,case_name,case,viscosity,sensor,beta,cfl,nx,mode,t_max,status,reason,solution_time
run_0001,visc_on_sensor_rho_beta_0p5_cfl_0p1_nx_501_mode_1,4,on,rho,0.5,0.1,501,1,0.15,failed,solver returned 1,
run_0002,visc_on_sensor_rho_beta_0p5_cfl_0p2_nx_501_mode_1,4,on,rho,0.5,0.2,501,1,0.15,failed,solver returned 1,
run_0003,visc_on_sensor_rho_beta_0p5_cfl_0p3_nx_501_mode_1,4,on,rho,0.5,0.3,501,1,0.15,failed,solver returned 1,
run_0004,visc_on_sensor_rho_beta_0p5_cfl_0p5_nx_501_mode_1,4,on,rho,0.5,0.5,501,1,0.15,failed,solver returned 1,
run_0005,visc_on_sensor_p_beta_0p5_cfl_0p1_nx_501_mode_1,4,on,p,0.5,0.1,501,1,0.15,failed,solver returned 1,
run_0006,visc_on_sensor_p_beta_0p5_cfl_0p2_nx_501_mode_1,4,on,p,0.5,0.2,501,1,0.15,failed,solver returned 1,
run_0007,visc_on_sensor_p_beta_0p5_cfl_0p3_nx_501_mode_1,4,on,p,0.5,0.3,501,1,0.15,failed,solver returned 1,
run_0008,visc_on_sensor_p_beta_0p5_cfl_0p5_nx_501_mode_1,4,on,p,0.5,0.5,501,1,0.15,failed,solver returned 1,
run_0009,visc_on_sensor_rho_beta_1_cfl_0p1_nx_501_mode_1,4,on,rho,1.0,0.1,501,1,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0010,visc_on_sensor_rho_beta_1_cfl_0p2_nx_501_mode_1,4,on,rho,1.0,0.2,501,1,0.15,failed,solver returned 1,
run_0011,visc_on_sensor_rho_beta_1_cfl_0p3_nx_501_mode_1,4,on,rho,1.0,0.3,501,1,0.15,failed,solver returned 1,
run_0012,visc_on_sensor_rho_beta_1_cfl_0p5_nx_501_mode_1,4,on,rho,1.0,0.5,501,1,0.15,failed,solver returned 1,
run_0013,visc_on_sensor_p_beta_1_cfl_0p1_nx_501_mode_1,4,on,p,1.0,0.1,501,1,0.15,failed,missing numerical.dat or numerical_exact.dat,
run_0014,visc_on_sensor_p_beta_1_cfl_0p2_nx_501_mode_1,4,on,p,1.0,0.2,501,1,0.15,failed,solver returned 1,
run_0015,visc_on_sensor_p_beta_1_cfl_0p3_nx_501_mode_1,4,on,p,1.0,0.3,501,1,0.15,failed,solver returned 1,
run_0016,visc_on_sensor_p_beta_1_cfl_0p5_nx_501_mode_1,4,on,p,1.0,0.5,501,1,0.15,failed,solver returned 1,
