TITLE = "Artificial-viscosity beta sweep metrics"
VARIABLES = "beta", "L1", "L2", "Linf", "TV", "undershoot", "overshoot"
ZONE T="rho", I=6, F=POINT
0.000000000000000e+00 9.725142803678059e-02 4.628068689592441e-01 5.502495379939798e+00 2.333215419180000e+01 0.000000000000000e+00 2.319442878000000e+00
2.500000000000000e-01 6.228683183989900e-02 4.273653470581066e-01 5.386957696039799e+00 9.745911249799999e+00 0.000000000000000e+00 3.286050855999996e-01
5.000000000000000e-01 6.695605818118058e-02 4.431332201932593e-01 5.264329719039798e+00 9.026675564400005e+00 0.000000000000000e+00 1.315759559999918e-02
7.500000000000000e-01 7.250536503898057e-02 4.524932885124725e-01 5.131113725439799e+00 9.000092355200007e+00 0.000000000000000e+00 4.493399999994097e-05
1.000000000000000e+00 7.748344009437652e-02 4.612560894029403e-01 5.024501587139799e+00 9.000001547800004e+00 0.000000000000000e+00 4.115000002968827e-07
1.500000000000000e+00 8.614065907989087e-02 4.781508184032914e-01 4.876224103739799e+00 9.000000681200003e+00 0.000000000000000e+00 1.775000004755611e-07
ZONE T="u", I=6, F=POINT
0.000000000000000e+00 6.165205546082575e-10 9.687685886764224e-10 1.522272974341377e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
2.500000000000000e-01 6.165205546082575e-10 9.687685886764224e-10 1.522272974341377e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
5.000000000000000e-01 6.165205546082575e-10 9.687685886764224e-10 1.522272974341377e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
7.500000000000000e-01 6.165205546082575e-10 9.687685886764224e-10 1.522272974341377e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 6.165205546082575e-10 9.687685886764224e-10 1.522272974341377e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 6.165205546082575e-10 9.687685886764224e-10 1.522272974341377e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
ZONE T="p", I=6, F=POINT
0.000000000000000e+00 3.017485321610281e-09 4.741520740092222e-09 7.450581041013038e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
2.500000000000000e-01 3.017485321610281e-09 4.741520740092222e-09 7.450581041013038e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
5.000000000000000e-01 3.017485321610281e-09 4.741520740092222e-09 7.450581041013038e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
7.500000000000000e-01 3.017485321610281e-09 4.741520740092222e-09 7.450581041013038e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 3.017485321610281e-09 4.741520740092222e-09 7.450581041013038e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.500000000000000e+00 3.017485321610281e-09 4.741520740092222e-09 7.450581041013038e-09 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
